name	country	birth	position	foot	height	hmv
zé love	Brazil	1987-10-29 00:00:00	Attack	right	179	4000000
zé love	Brazil	1987-10-29 00:00:00	Attack	right	179	4000000
zé love	Brazil	1987-10-29 00:00:00	Attack	right	179	4000000
zé kalanga	<null>	<null>	<null>	<null>	<null>	<null>
zé henrique	Brazil	2004-10-23 00:00:00	Goalkeeper	right	199	<null>
zé henrique	Brazil	2004-10-23 00:00:00	Goalkeeper	right	199	<null>
zé henrique	Brazil	2004-10-23 00:00:00	Goalkeeper	right	199	<null>
zé henrique	Brazil	2004-10-23 00:00:00	Goalkeeper	right	199	<null>
zé de mello	<null>	<null>	<null>	<null>	<null>	<null>
zé castro	Portugal	1983-01-13 00:00:00	Defender	right	183	3000000
zé castro	Portugal	1983-01-13 00:00:00	Defender	right	183	3000000
zé castro	Portugal	1983-01-13 00:00:00	Defender	right	183	3000000
zé castro	Portugal	1983-01-13 00:00:00	Defender	right	183	3000000
zymer bytyqi	Kosovo	1996-09-11 00:00:00	Attack	right	176	5500000
zymer bytyqi	Kosovo	1996-09-11 00:00:00	Attack	right	176	5500000
zymer bytyqi	Kosovo	1996-09-11 00:00:00	Attack	right	176	5500000
zymer bytyqi	<null>	<null>	<null>	<null>	<null>	<null>
zymer bytyqi	Kosovo	1996-09-11 00:00:00	Attack	right	176	5500000
zygfryd szołtysik	Poland	<null>	<null>	<null>	<null>	<null>
zygfryd szołtysik	<null>	<null>	<null>	<null>	<null>	<null>
zydrunas karcemarskas	Lithuania	1983-05-24 00:00:00	Goalkeeper	right	189	3200000
zydrunas karcemarskas	Lithuania	1983-05-24 00:00:00	Goalkeeper	right	189	3200000
zydrunas karcemarskas	Lithuania	1983-05-24 00:00:00	Goalkeeper	right	189	3200000
zydrunas karcemarskas	Lithuania	1983-05-24 00:00:00	Goalkeeper	right	189	3200000
zyad chaabo	<null>	<null>	<null>	<null>	<null>	<null>
zvonko živković	<null>	<null>	<null>	<null>	<null>	<null>
zvonko ivezić	<null>	<null>	<null>	<null>	<null>	<null>
zvonimir vukić	<null>	<null>	<null>	<null>	<null>	<null>
zvonimir vukic	Serbia	1979-07-19 00:00:00	Midfield	right	182	4500000
zvonimir vukic	Serbia	1979-07-19 00:00:00	Midfield	right	182	4500000
zvonimir vukic	Serbia	1979-07-19 00:00:00	Midfield	right	182	4500000
zvonimir vukic	Serbia	1979-07-19 00:00:00	Midfield	right	182	4500000
zvonimir soldo	<null>	<null>	<null>	<null>	<null>	<null>
zvonimir boban	Croatia	<null>	<null>	<null>	<null>	<null>
zvonimir boban	<null>	<null>	<null>	<null>	<null>	<null>
zvjezdan misimović	<null>	<null>	<null>	<null>	<null>	<null>
zvjezdan misimovic	Bosnia-Herzegovina	1982-06-05 00:00:00	Midfield	both	179	14500000
zvjezdan misimovic	Bosnia-Herzegovina	1982-06-05 00:00:00	Midfield	both	179	14500000
zvjezdan misimovic	Bosnia-Herzegovina	1982-06-05 00:00:00	Midfield	both	179	14500000
zvjezdan misimovic	Bosnia-Herzegovina	1982-06-05 00:00:00	Midfield	both	179	14500000
zvi rozen	<null>	<null>	<null>	<null>	<null>	<null>
zvi farkash	<null>	<null>	<null>	<null>	<null>	<null>
zvezdan čebinac	Yugoslavia	<null>	<null>	<null>	<null>	<null>
zvezdan čebinac	<null>	<null>	<null>	<null>	<null>	<null>
zvezdan cvetković	<null>	<null>	<null>	<null>	<null>	<null>
zuriko davitashvili	Georgia	2001-02-15 00:00:00	Attack	right	175	8000000
zuriko davitashvili	Georgia	2001-02-15 00:00:00	Attack	right	175	8000000
zuriko davitashvili	Georgia	2001-02-15 00:00:00	Attack	right	175	8000000
zuriko davitashvili	<null>	<null>	<null>	<null>	<null>	<null>
zuriko davitashvili	Georgia	2001-02-15 00:00:00	Attack	right	175	8000000
zuo shusheng	<null>	<null>	<null>	<null>	<null>	<null>
zumratul hossain mithu	<null>	<null>	<null>	<null>	<null>	<null>
zulkifli hamzah	<null>	<null>	<null>	<null>	<null>	<null>
zulkarnaen zainal	<null>	<null>	<null>	<null>	<null>	<null>
zuhair bakheet	<null>	<null>	<null>	<null>	<null>	<null>
zubi	Spain	1993-05-21 00:00:00	Attack	left	181	<null>
zubi	Spain	1993-05-21 00:00:00	Attack	left	181	<null>
zubi	Spain	1993-05-21 00:00:00	Attack	left	181	<null>
zubi	Spain	1993-05-21 00:00:00	Attack	left	181	<null>
zsolt nagy	<null>	<null>	<null>	<null>	<null>	<null>
zsolt kalmár	<null>	<null>	<null>	<null>	<null>	<null>
zoumana camara	France	1979-04-03 00:00:00	Defender	right	182	6000000
zoumana camara	France	1979-04-03 00:00:00	Defender	right	182	6000000
zoumana camara	<null>	<null>	<null>	<null>	<null>	<null>
zoumana camara	France	1979-04-03 00:00:00	Defender	right	182	6000000
zoumana camara	France	1979-04-03 00:00:00	Defender	right	182	6000000
zouheir dhaouadi	<null>	<null>	<null>	<null>	<null>	<null>
zouhair feddal	Morocco	1989-12-23 00:00:00	Defender	left	191	6000000
zouhair feddal	<null>	<null>	<null>	<null>	<null>	<null>
zouhair feddal	Morocco	1989-12-23 00:00:00	Defender	left	191	6000000
zouhair feddal	<null>	<null>	<null>	<null>	<null>	<null>
zouhair feddal	Morocco	1989-12-23 00:00:00	Defender	left	191	6000000
zouhair feddal	Morocco	1989-12-23 00:00:00	Defender	left	191	6000000
zouhaier dhaouadi	<null>	<null>	<null>	<null>	<null>	<null>
zoubeir baya	<null>	<null>	<null>	<null>	<null>	<null>
zoran vulić	<null>	<null>	<null>	<null>	<null>	<null>
zoran vujović	<null>	<null>	<null>	<null>	<null>	<null>
zoran tošić	<null>	<null>	<null>	<null>	<null>	<null>
zoran tosic	Serbia	1987-04-28 00:00:00	Attack	left	171	10000000
zoran tosic	Serbia	1987-04-28 00:00:00	Attack	left	171	10000000
zoran tosic	Serbia	1987-04-28 00:00:00	Attack	left	171	10000000
zoran tosic	Serbia	1987-04-28 00:00:00	Attack	left	171	10000000
zoran mirković	<null>	<null>	<null>	<null>	<null>	<null>
zoran janković	<null>	<null>	<null>	<null>	<null>	<null>
zoran filipović	<null>	<null>	<null>	<null>	<null>	<null>
zoran boškovski	<null>	<null>	<null>	<null>	<null>	<null>
zoltán varga	<null>	<null>	<null>	<null>	<null>	<null>
zoltán szilvási	Hungary	1993-06-20 00:00:00	Defender	right	185	<null>
zoltán szilvási	Hungary	1993-06-20 00:00:00	Defender	right	185	<null>
zoltán szilvási	Hungary	1993-06-20 00:00:00	Defender	right	185	<null>
zoltán szilvási	Hungary	1993-06-20 00:00:00	Defender	right	185	<null>
zoltán stieber	<null>	<null>	<null>	<null>	<null>	<null>
zoltán péter	<null>	<null>	<null>	<null>	<null>	<null>
zoltán opata	<null>	<null>	<null>	<null>	<null>	<null>
zoltán lipták	<null>	<null>	<null>	<null>	<null>	<null>
zoltán kovács	<null>	<null>	<null>	<null>	<null>	<null>
zoltán kereki	<null>	<null>	<null>	<null>	<null>	<null>
zoltán halmosi	<null>	<null>	<null>	<null>	<null>	<null>
zoltán gera	Hungary	1979-04-22 00:00:00	Midfield	both	183	4500000
zoltán gera	Hungary	1979-04-22 00:00:00	Midfield	both	183	4500000
zoltán gera	Hungary	1979-04-22 00:00:00	Midfield	both	183	4500000
zoltán gera	<null>	<null>	<null>	<null>	<null>	<null>
zoltán gera	Hungary	1979-04-22 00:00:00	Midfield	both	183	4500000
zoltán czibor	<null>	<null>	<null>	<null>	<null>	<null>
zoltán böőr	<null>	<null>	<null>	<null>	<null>	<null>
zoltan stieber	<null>	<null>	<null>	<null>	<null>	<null>
zoltan stieber	<null>	<null>	<null>	<null>	<null>	<null>
zoltan gera	<null>	<null>	<null>	<null>	<null>	<null>
zoltan crişan	<null>	<null>	<null>	<null>	<null>	<null>
zola matumona	<null>	<null>	<null>	<null>	<null>	<null>
zoilo saldombide	<null>	<null>	<null>	<null>	<null>	<null>
zlatko čajkovski	<null>	<null>	<null>	<null>	<null>	<null>
zlatko zahovič	Slovenia	<null>	<null>	<null>	<null>	<null>
zlatko zahovič	<null>	<null>	<null>	<null>	<null>	<null>
